data-DjAFc
X.1,X.2,~~~Family Health Insurance Coverage ~~~
Rank,State,Average Annual Premium¹
1,North Carolina,"$7,180.33"
2,South Dakota,"$6,479.33"
3,Nebraska,"$6,766.33"
4,Florida,"$7,258.00"
5,Texas,"$7,051.33"
6,South Carolina,"$6,415.00"
7,Arizona,"$6,726.33"
8,Georgia,"$6,611.67"
9,New Hampshire,"$6,261.67"
10,Louisiana,"$6,695.67"
11,Missouri,"$6,599.00"
12,Colorado,"$6,516.67"
13,Vermont,"$6,212.00"
14,Tennessee,"$5,942.33"
15,Connecticut,"$6,021.00"
16,Oklahoma,"$6,387.33"
17,Delaware,"$6,918.33"
18,Alaska,"$6,285.67"
19,Maine,"$6,431.67"
20,West Virginia,"$6,208.00"
21,Mississippi,"$7,126.67"
22,Virginia,"$6,844.00"
23,Iowa,"$6,139.33"
24,Indiana,"$5,558.33"
25,New Mexico,"$6,426.67"
26,Wisconsin,"$5,449.00"
27,Alabama,"$6,174.00"
28,Wyoming,"$5,561.33"
29,Kansas,"$6,186.67"
30,Illinois,"$5,808.33"
31,New Jersey,"$6,180.33"
32,Arkansas,"$6,131.33"
33,Utah,"$5,966.33"
34,Minnesota,"$5,695.33"
35,Montana,"$5,730.33"
36,Maryland,"$6,647.00"
37,Idaho,"$6,517.67"
38,Ohio,"$5,357.67"
39,North Dakota,"$6,169.33"
40,Rhode Island,"$5,972.00"
41,New York,"$5,731.67"
42,Kentucky,"$5,721.67"
43,Oregon,"$6,046.00"
44,"Washington, D.C.","$6,891.67"
45,Nevada,"$6,250.67"
46,Pennsylvania,"$6,393.00"
47,Massachusetts,"$5,864.00"
48,California,"$6,303.33"
49,Washington,"$5,320.00"
50,Michigan,"$4,703.00"
51,Hawaii,"$5,373.67"
