Area Name,Year,Variable,Value
Colorado,2015,Violent Crimes Per 100,321
Delaware,1990,Violent Crimes Per 100,655
California,1994,Violent Crimes Per 100,1013
Delaware,2014,Property Crimes Per 100,2982
Utah,2014,Property Crimes Per 100,2879
Wyoming,2010,Property Crimes Per 100,2462
New York,2016,Property Crimes Per 100,1546
Pennsylvania,2014,Property Crimes Per 100,1932
Arkansas,1997,Property Crimes Per 100,4192
Virginia,1995,Property Crimes Per 100,3628
Hawaii,1999,Violent Crimes Per 100,235
Wisconsin,1991,Violent Crimes Per 100,277
Indiana,2011,Violent Crimes Per 100,332
Georgia,1994,Property Crimes Per 100,5343
Virginia,2003,Property Crimes Per 100,2722
South Carolina,2001,Property Crimes Per 100,4032
Mississippi,2012,Property Crimes Per 100,2811
Rhode Island,1994,Property Crimes Per 100,3744
Oregon,1995,Violent Crimes Per 100,522
Maine,2008,Violent Crimes Per 100,118
South Dakota,1990,Violent Crimes Per 100,163
Michigan,2006,Violent Crimes Per 100,562
Montana,1998,Violent Crimes Per 100,204
Mississippi,1999,Violent Crimes Per 100,349
West Virginia,2009,Violent Crimes Per 100,297
Hawaii,2015,Property Crimes Per 100,3796
Nebraska,2005,Violent Crimes Per 100,287
Mississippi,2000,Violent Crimes Per 100,361
Minnesota,2000,Violent Crimes Per 100,281
Nebraska,1990,Violent Crimes Per 100,330
Michigan,2008,Crimes Per 100,3436
New Jersey,1995,Crimes Per 100,4704
Minnesota,2000,Crimes Per 100,3488
Hawaii,2004,Crimes Per 100,5047
Massachusetts,2001,Violent Crimes Per 100,480
Illinois,2007,Violent Crimes Per 100,533
Iowa,2001,Violent Crimes Per 100,269
Indiana,2000,Violent Crimes Per 100,349
New York,2015,Crimes Per 100,1984
Washington,1995,Crimes Per 100,6270
Pennsylvania,2009,Crimes Per 100,2582
Wyoming,1999,Crimes Per 100,3458
Minnesota,2016,Crimes Per 100,2376
Washington,2015,Property Crimes Per 100,3464
Nevada,2016,Property Crimes Per 100,2587
New Mexico,2016,Property Crimes Per 100,3937
Nevada,2007,Property Crimes Per 100,3778
South Carolina,1998,Crimes Per 100,5777
Illinois,2004,Violent Crimes Per 100,543
Missouri,2000,Property Crimes Per 100,4038
Georgia,2008,Property Crimes Per 100,4016
California,2001,Property Crimes Per 100,3286
California,2008,Violent Crimes Per 100,504
Georgia,1991,Violent Crimes Per 100,738
District of Columbia,1995,Violent Crimes Per 100,2661
Colorado,1994,Violent Crimes Per 100,510
Connecticut,1993,Violent Crimes Per 100,456
Washington,2012,Property Crimes Per 100,3659
South Carolina,2011,Property Crimes Per 100,3904
Wisconsin,2006,Property Crimes Per 100,2817
Washington,2014,Violent Crimes Per 100,285
Washington,2007,Violent Crimes Per 100,333
Arkansas,1994,Property Crimes Per 100,4204
Tennessee,2015,Crimes Per 100,3548
West Virginia,2016,Crimes Per 100,2405
District of Columbia,1993,Crimes Per 100,11761
District of Columbia,1991,Crimes Per 100,10768
Maryland,2000,Crimes Per 100,4816
Florida,2006,Crimes Per 100,4698
California,2007,Crimes Per 100,3556
Florida,1991,Crimes Per 100,8547
Arkansas,1998,Crimes Per 100,4283
Colorado,1991,Crimes Per 100,6074
Wyoming,2009,Violent Crimes Per 100,228
Maine,2014,Violent Crimes Per 100,128
